Run 310: 6.692139148712158s, incorrect: 5, correct: 17
Run 311: 6.5239105224609375s, incorrect: 5, correct: 17
Run 312: 6.677358150482178s, incorrect: 6, correct: 17
Run 313: 5.587116956710815s, incorrect: 2, correct: 17
Run 314: 5.246873617172241s, incorrect: 1, correct: 17
Run 315: 5.347301959991455s, incorrect: 1, correct: 17
Run 316: 5.595655918121338s, incorrect: 2, correct: 17
Run 317: 6.606005668640137s, incorrect: 5, correct: 17
Run 318: 6.5461585521698s, incorrect: 5, correct: 17
Run 319: 5.874662637710571s, incorrect: 3, correct: 17
Run 320: 6.421066045761108s, incorrect: 4, correct: 17
Run 321: 6.707823038101196s, incorrect: 6, correct: 17
Run 322: 5.401254892349243s, incorrect: 1, correct: 17
Run 323: 5.677022933959961s, incorrect: 2, correct: 17
Run 324: 6.177057981491089s, incorrect: 4, correct: 17
Run 325: 7.12444543838501s, incorrect: 7, correct: 17
Run 326: 6.466290235519409s, incorrect: 5, correct: 17
Run 327: 5.331174850463867s, incorrect: 1, correct: 17
Run 328: 6.012291669845581s, incorrect: 3, correct: 17
Run 329: 6.822449207305908s, incorrect: 6, correct: 17
Run 330: 6.414263725280762s, incorrect: 4, correct: 17
Run 331: 5.873394250869751s, incorrect: 3, correct: 17
Run 332: 5.982437610626221s, incorrect: 3, correct: 17
Run 333: 6.7868971824646s, incorrect: 6, correct: 17
Run 334: 6.173524856567383s, incorrect: 4, correct: 17
Run 335: 6.621241092681885s, incorrect: 5, correct: 17
Run 336: 5.908256530761719s, incorrect: 3, correct: 17
Run 337: 6.559425354003906s, incorrect: 5, correct: 17
Run 338: 7.032454013824463s, incorrect: 7, correct: 17
Run 339: 5.668843507766724s, incorrect: 2, correct: 17
Run 340: 5.6164257526397705s, incorrect: 2, correct: 17
Run 341: 5.249080657958984s, incorrect: 1, correct: 17
Run 342: 6.080608367919922s, incorrect: 3, correct: 17
Run 346: 6.389447212219238s, incorrect: 4, correct: 17
Run 347: 7.1326751708984375s, incorrect: 7, correct: 17
Run 348: 6.3517982959747314s, incorrect: 4, correct: 17
Run 349: 6.362494468688965s, incorrect: 4, correct: 17
Run 350: 5.724480867385864s, incorrect: 2, correct: 17
Run 351: 7.630733489990234s, incorrect: 9, correct: 17
Run 352: 6.06791090965271s, incorrect: 3, correct: 17
Run 353: 6.550044059753418s, incorrect: 5, correct: 17
Run 354: 5.9194653034210205s, incorrect: 3, correct: 17
Run 355: 6.3177714347839355s, incorrect: 4, correct: 17
Run 356: 5.5764079093933105s, incorrect: 2, correct: 17
Run 357: 5.451241493225098s, incorrect: 1, correct: 17
Run 358: 6.009023189544678s, incorrect: 3, correct: 17
Run 359: 6.318273305892944s, incorrect: 4, correct: 17
Run 360: 7.670087575912476s, incorrect: 9, correct: 17
Run 361: 5.02473258972168s, incorrect: 0, correct: 17
Run 362: 6.612380027770996s, incorrect: 5, correct: 17
Run 363: 5.009368181228638s, incorrect: 0, correct: 17
Run 364: 6.0276336669921875s, incorrect: 3, correct: 17
Run 365: 6.641261100769043s, incorrect: 5, correct: 17
Run 366: 6.132356405258179s, incorrect: 4, correct: 17
Run 367: 5.1427013874053955s, incorrect: 0, correct: 17
Run 368: 5.571067571640015s, incorrect: 2, correct: 17
Run 369: 6.640661716461182s, incorrect: 5, correct: 17
Run 370: 6.109687328338623s, incorrect: 4, correct: 17
Run 371: 5.929551601409912s, incorrect: 3, correct: 17
Run 372: 6.5677361488342285s, incorrect: 5, correct: 17
Run 373: 5.687904119491577s, incorrect: 2, correct: 17
Run 374: 5.514570236206055s, incorrect: 1, correct: 17
Run 375: 5.865648984909058s, incorrect: 3, correct: 17
Run 376: 5.672199487686157s, incorrect: 2, correct: 17
Run 377: 5.821540594100952s, incorrect: 3, correct: 17
Run 378: 5.670597553253174s, incorrect: 2, correct: 17
Run 379: 5.663974046707153s, incorrect: 2, correct: 17
Run 380: 6.7550554275512695s, incorrect: 6, correct: 17
Run 381: 6.672339200973511s, incorrect: 5, correct: 17
Run 382: 5.616722106933594s, incorrect: 2, correct: 17
Run 383: 5.387641668319702s, incorrect: 1, correct: 17
Run 384: 6.528646469116211s, incorrect: 5, correct: 17
Run 385: 5.894841194152832s, incorrect: 3, correct: 17
Run 386: 6.8618104457855225s, incorrect: 6, correct: 17
Run 387: 5.020873785018921s, incorrect: 0, correct: 17
Run 388: 5.988313913345337s, incorrect: 3, correct: 17
Run 389: 6.519335746765137s, incorrect: 5, correct: 17
Run 390: 5.313798666000366s, incorrect: 1, correct: 17
Run 391: 6.241825342178345s, incorrect: 4, correct: 17
Run 392: 5.36866021156311s, incorrect: 1, correct: 17
Run 393: 6.390920162200928s, incorrect: 4, correct: 17
Run 394: 6.273258924484253s, incorrect: 4, correct: 17
Run 395: 5.664056777954102s, incorrect: 2, correct: 17
Run 396: 5.663879156112671s, incorrect: 2, correct: 17
Run 397: 5.615969657897949s, incorrect: 2, correct: 17
Run 398: 5.804920196533203s, incorrect: 2, correct: 17
Run 399: 6.55489182472229s, incorrect: 5, correct: 17
Run 400: 5.959809064865112s, incorrect: 3, correct: 17
Run 401: 4.9860711097717285s, incorrect: 0, correct: 17
Run 402: 5.348803520202637s, incorrect: 1, correct: 17
Run 403: 6.150305271148682s, incorrect: 4, correct: 17
Run 404: 5.689704656600952s, incorrect: 2, correct: 17
Run 405: 5.397365570068359s, incorrect: 1, correct: 17
Run 406: 6.153609275817871s, incorrect: 4, correct: 17
Run 407: 5.666149854660034s, incorrect: 2, correct: 17
Run 408: 6.841495752334595s, incorrect: 6, correct: 17
Run 409: 5.993480443954468s, incorrect: 3, correct: 17
